stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDPV-197,Fancy Colour,VIVID PINK,ROUND,0.95,Under 1ct,VVS2,ID,EX,EX,6.35 - 6.37 * 3.85,60.5,58.0,1.0,IGI,791642350,https://api.igi.org/viewpdf.php?r=791642350,https://workshop.360view.link/360viewer/360view.html?d=2704267-PV-197
PDPV-207,Fancy Colour,INTENSE PINK,ROUND,0.95,Under 1ct,VS2,ID,EX,EX,6.32 - 6.35 * 3.83,60.5,57.0,1.0,IGI,791642831,https://api.igi.org/viewpdf.php?r=791642831,https://workshop.360view.link/360viewer/360view.html?d=3004261-PV-207-PR
PDPV-214,Fancy Colour,INTENSE PINK,ROUND,0.95,Under 1ct,VS1,EX,VG,EX,6.26 - 6.31 * 3.84,61.0,59.0,0.99,IGI,790653239,https://api.igi.org/viewpdf.php?r=790653239,https://workshop.360view.link/360viewer/360view.html?d=3004266-PV-214-PR
PDPV-220,Fancy Colour,VIVID PINK,ROUND,0.95,Under 1ct,VS2,ID,EX,EX,6.25 - 6.26 * 3.90,62.4,58.0,1.0,IGI,795623011,https://api.igi.org/viewpdf.php?r=795623011,https://workshop.360view.link/360viewer/360view.html?d=2005263-PV-220-PR
PDPV-228,Fancy Colour,FANCY PINK,ROUND,0.95,Under 1ct,VS1,ID,EX,EX,6.26 - 6.28 * 3.88,61.9,58.0,1.0,IGI,817665893,https://api.igi.org/viewpdf.php?r=817665893,https://workshop.360view.link/360viewer/360view.html?d=0708265-PV-228
PDPV-192,Fancy Colour,VIVID PINK,ROUND,0.94,Under 1ct,VS2,ID,EX,EX,6.25 - 6.28 * 3.86,61.6,57.0,1.0,IGI,786626111,https://api.igi.org/viewpdf.php?r=786626111,https://workshop.360view.link/360viewer/360view.html?d=1604262-PV-192-PR
PDPV-218,Fancy Colour,INTENSE PINK,ROUND,0.94,Under 1ct,VVS2,ID,EX,EX,6.25 - 6.27 * 3.85,61.5,58.0,1.0,IGI,790653242,https://api.igi.org/viewpdf.php?r=790653242,https://workshop.360view.link/360viewer/360view.html?d=3004267-PV-218-PR
PDPV-191,Fancy Colour,VIVID PINK,ROUND,0.93,Under 1ct,VS2,ID,EX,EX,6.31 - 6.33 * 3.82,60.5,57.0,1.0,IGI,786626112,https://api.igi.org/viewpdf.php?r=786626112,https://workshop.360view.link/360viewer/360view.html?d=1604266-PV-191-PR
PDPV-194,Fancy Colour,VIVID PINK,ROUND,0.93,Under 1ct,VS2,ID,EX,EX,6.22 - 6.28 * 3.87,61.9,60.0,0.99,IGI,788685940,https://api.igi.org/viewpdf.php?r=788685940,https://workshop.360view.link/360viewer/360view.html?d=3004263-PV-194-PR
PDPV-210,Fancy Colour,INTENSE PINK,ROUND,0.93,Under 1ct,VS2,ID,EX,EX,6.22 - 6.26 * 3.85,61.7,57.0,0.99,IGI,791642834,https://api.igi.org/viewpdf.php?r=791642834,https://workshop.360view.link/360viewer/360view.html?d=3004264-PV-210-PR
PDPV-211,Fancy Colour,INTENSE PINK,ROUND,0.93,Under 1ct,SI1,ID,EX,EX,6.30 - 6.32 * 3.81,60.3,57.0,1.0,IGI,791642835,https://api.igi.org/viewpdf.php?r=791642835,https://workshop.360view.link/360viewer/360view.html?d=3004261-PV-211-PR
