stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-2426,Fancy Colour,VIVID PINK,OVAL,0.84,Under 1ct,VVS2,,EX,EX,7.35 - 4.84 * 3.06,63.2,59.0,1.52,IGI,826604971,https://api.igi.org/viewpdf.php?r=826604971,https://workshop.360view.link/360viewer/360view.html?d=1208264-PDKP-2426
PDKP-2422,Fancy Colour,VIVID PINK,OVAL,0.56,Under 1ct,VVS2,,VG,EX,5.95 - 4.21 * 2.76,65.6,62.0,1.41,IGI,826604967,https://api.igi.org/viewpdf.php?r=826604967,https://workshop.360view.link/360viewer/360view.html?d=1508261-PDKP-2422
PDKP-2357,Fancy Colour,VIVID PINK,OVAL,3.1,3.00–4.99ct,VS2,,EX,EX,11.23 - 8.18 * 4.77,58.3,64.0,1.37,IGI,799626107,https://api.igi.org/viewpdf.php?r=799626107,https://workshop.360view.link/360viewer/360view.html?d=2905260-PDKP-2357
PDKP-2350,Fancy Colour,VIVID PINK,OVAL,0.91,Under 1ct,VVS2,,VG,VG,7.10 - 4.80 * 3.33,69.4,58.0,1.48,IGI,799626110,https://api.igi.org/viewpdf.php?r=799626110,https://workshop.360view.link/360viewer/360view.html?d=2905264-PDKP-2350
PDKP-2321,Fancy Colour,VIVID PINK,OVAL,0.63,Under 1ct,VVS2,,VG,VG,6.22 - 4.17 * 2.97,71.2,59.0,1.49,IGI,795624178,https://api.igi.org/viewpdf.php?r=795624178,https://workshop.360view.link/360viewer/360view.html?d=2205260-PDKP-2321
PDKP-2320,Fancy Colour,VIVID PINK,OVAL,0.44,Under 1ct,VS1,,VG,VG,5.76 - 3.76 * 2.54,67.6,55.0,1.53,IGI,795624177,https://api.igi.org/viewpdf.php?r=795624177,https://workshop.360view.link/360viewer/360view.html?d=2205266-PDKP-2320
PDKP-1246,Fancy Colour,VIVID PINK,PEAR,11.48,10ct+,VS1,,EX,EX,18.72 - 11.37 * 7.13,62.7,58.0,1.65,IGI,696544084,https://api.igi.org/viewpdf.php?r=696544084,https://workshop.360view.link/360viewer/360view.html?d=0105254-PDKP-1246
PDKP-1241,Fancy Colour,VIVID PINK,PEAR,10.99,10ct+,VS1,,EX,EX,18.41 - 11.35 * 6.95,61.2,65.0,1.62,IGI,696544088,https://api.igi.org/viewpdf.php?r=696544088,https://workshop.360view.link/360viewer/360view.html?d=3004254-NEM-1-138
PDKP-1460,Fancy Colour,VIVID PINK,PEAR,9.37,5.00–9.99ct,VS1,,EX,EX,18.18 - 11.33 * 6.69,59.0,62.0,1.6,IGI,727568692,https://api.igi.org/viewpdf.php?r=727568692,https://workshop.360view.link/360viewer/360view.html?d=2208250-PDKP-1460
PDKP-2075,Fancy Colour,VIVID PINK,PEAR,9.2,5.00–9.99ct,VVS2,,EX,EX,18.39 - 11.52 * 6.48,56.3,66.0,1.6,IGI,818622703,https://api.igi.org/viewpdf.php?r=818622703,https://workshop.360view.link/360viewer/360view.html?d=1308268-PDKP-2073--
PDKP-3054-A,Fancy Colour,VIVID PINK,PEAR,9.02,5.00–9.99ct,VVS2,,EX,EX,18.35 - 11.34 * 6.53,57.6,66.0,1.62,IGI,816663018,https://api.igi.org/viewpdf.php?r=816663018,https://workshop.360view.link/360viewer/360view.html?d=1307262-PDKP-3054
